vibration_amplitude_mm,vibration_frequency_hz,stress_mPa,strain_micro,concrete_age_years,ambient_temp_c,humidity_pct,maintenance_score,material_grade,foundation_settlement_mm,load_ratio,failure_risk
13.11,24.71,40.81,1488.01,29.8,24.9,85.4,2,M40,12.76,0.55,Medium
13.82,105.42,76.3,1053.57,38.8,21.3,43.2,8,M20,9.03,0.78,High
0.96,88.91,79.56,2585.75,69.8,9.9,61.0,8,M30,17.94,1.13,High
4.19,2.64,25.67,923.42,65.7,22.5,72.7,2,M20,14.99,1.25,Medium
12.1,30.56,51.8,683.81,11.0,47.5,95.0,8,M20,12.71,0.22,Medium
11.24,26.51,21.36,1901.44,13.8,2.4,52.6,3,M40,24.57,0.59,Low
2.81,33.23,13.66,1085.96,27.5,29.3,52.1,7,M30,23.5,0.93,Low
3.18,30.46,82.45,2238.28,22.5,-7.4,83.2,9,M20,23.89,0.78,High
5.59,8.44,74.74,500.99,46.5,-6.0,80.4,4,M30,22.03,1.24,High
7.29,55.61,69.6,2326.8,67.8,23.1,74.8,6,M50,6.38,0.22,Medium
9.29,88.2,9.15,1063.21,72.2,-3.7,54.7,9,M40,8.75,0.68,Low
5.57,73.2,76.72,100.83,49.4,-8.7,44.3,5,M20,5.78,0.94,High
6.96,81.07,42.23,531.58,63.0,0.3,65.7,1,M50,24.65,0.44,Low
11.22,10.66,34.1,3274.29,39.9,23.9,85.7,3,M30,3.82,1.0,Medium
0.6,114.23,51.45,3049.01,16.4,32.2,86.3,9,M40,9.16,0.29,Low
3.82,100.78,12.77,894.27,39.8,2.1,28.1,3,M40,4.98,0.7,Low
10.71,96.81,69.31,2746.46,42.1,30.1,52.1,10,M50,5.59,0.94,Medium
13.43,98.94,54.51,2169.14,55.9,0.9,54.9,2,M40,6.18,0.49,Medium
7.7,111.99,20.86,3401.08,17.3,26.8,93.3,4,M20,15.99,0.28,Medium
8.01,65.77,21.0,1370.26,28.3,14.7,70.8,5,M30,1.9,1.25,Low
1.65,24.83,20.66,2416.97,27.9,29.2,50.5,7,M30,14.31,1.21,Low
6.74,74.4,9.85,316.02,72.0,49.7,22.0,7,M30,20.48,1.22,Low
8.01,89.4,54.96,1447.24,33.9,46.3,62.4,9,M30,19.16,1.28,Medium
3.67,88.81,76.43,3376.98,56.9,-9.7,27.2,8,M30,3.78,0.4,Medium
4.08,63.05,6.49,1932.53,56.6,43.1,82.6,2,M30,22.87,0.37,Low
5.69,9.15,9.17,1078.79,20.7,-6.0,76.4,8,M20,19.25,0.24,Low
0.35,45.16,53.69,508.92,43.3,47.2,54.5,8,M30,0.13,1.18,Low
4.87,110.57,74.66,2492.0,67.2,6.9,52.2,5,M40,18.43,1.03,Medium
3.21,70.55,32.77,2292.51,36.2,12.9,87.3,3,M30,18.44,0.9,Low
4.95,65.06,34.72,1371.39,70.9,-4.5,41.6,9,M50,12.42,1.22,Low
1.84,32.99,55.69,3333.2,16.9,-3.3,38.7,7,M20,1.15,0.83,High
13.36,44.85,28.31,175.49,6.5,33.6,90.4,1,M30,14.5,0.34,Low
8.92,107.55,7.26,1132.66,67.0,46.7,80.7,8,M30,19.14,0.39,Low
10.2,80.31,67.49,3231.64,63.7,26.6,81.5,10,M20,6.77,0.35,High
11.85,94.7,58.18,1191.18,74.5,33.0,34.6,5,M20,16.68,0.54,High
7.5,55.07,54.36,957.66,51.3,35.7,30.7,6,M50,8.85,0.62,Low
1.35,76.0,68.04,1916.35,70.3,5.8,22.0,9,M30,14.35,1.08,Medium
8.08,30.56,62.39,2900.93,62.2,-7.3,37.8,10,M30,9.61,0.41,Medium
8.82,84.95,22.5,450.7,63.5,-9.9,78.1,8,M30,7.59,1.0,Low
11.19,51.88,34.96,3306.27,43.1,11.0,38.0,3,M40,21.4,0.74,Medium
6.5,53.66,15.72,2803.25,29.3,4.5,74.7,5,M30,18.85,1.3,Low
1.96,78.27,16.04,716.25,70.2,-6.3,38.9,4,M40,8.64,1.05,Low
4.29,112.42,62.48,2520.83,33.0,0.8,49.6,1,M30,10.87,1.27,High
5.48,8.62,77.98,1408.86,40.9,-2.5,93.7,5,M30,17.29,0.58,High
9.71,99.14,86.83,1467.8,34.0,44.9,38.4,10,M20,20.28,0.34,High
8.58,35.79,58.41,2763.19,42.8,-1.6,48.2,7,M40,17.11,0.76,Medium
5.37,53.83,20.65,3373.47,35.8,22.3,42.6,1,M40,13.52,0.34,Low
14.8,3.61,13.98,530.63,4.5,25.6,28.2,4,M30,23.86,0.74,Low
9.11,36.82,74.09,1530.14,66.3,22.6,56.7,6,M20,19.35,0.5,High
3.6,60.81,54.19,1735.2,33.9,-4.1,48.4,9,M30,2.89,0.74,Low
1.57,7.68,57.55,1379.46,44.6,9.1,72.1,8,M20,13.95,1.24,High
2.34,59.44,71.42,1334.84,11.3,-6.9,81.3,2,M30,10.24,0.52,Medium
3.73,111.33,64.78,277.71,1.3,13.7,60.8,3,M40,19.87,1.29,Medium
2.45,13.54,75.93,2430.83,19.2,1.3,22.4,10,M40,1.12,0.45,Low
2.84,91.97,9.78,1583.13,53.1,23.7,66.4,5,M20,10.27,0.43,Low
4.31,49.75,68.54,762.3,8.3,31.6,24.2,7,M50,7.96,0.8,Low
2.64,78.97,77.32,2874.51,68.3,21.9,66.2,3,M50,3.53,1.13,Medium
13.46,31.97,29.32,2828.71,16.9,16.1,71.4,7,M30,9.47,1.02,Medium
1.25,19.98,59.44,1753.73,16.1,13.2,34.8,5,M30,16.82,1.0,Medium
7.89,20.1,31.7,1114.73,14.4,40.5,81.5,10,M50,9.04,0.51,Low
6.19,9.39,86.43,2269.52,2.0,3.2,88.3,6,M30,14.5,0.22,High
14.74,23.09,7.84,1079.72,58.1,34.1,81.0,6,M30,14.82,0.38,Low
1.72,80.04,54.28,902.43,65.8,35.4,42.9,4,M40,14.68,0.58,Medium
6.0,105.92,19.15,2583.75,46.4,15.2,64.0,8,M20,13.24,1.27,Low
14.54,97.88,65.54,237.11,14.9,7.8,88.6,9,M40,2.92,1.21,Medium
12.99,82.53,19.95,422.21,22.1,18.2,44.0,2,M30,5.46,0.42,Low
12.27,14.14,25.01,123.08,36.2,-4.4,81.5,9,M30,20.0,1.0,Low
3.91,35.41,47.02,620.01,71.6,-7.2,20.7,4,M20,12.56,0.84,Medium
2.6,37.87,82.76,334.57,19.3,-3.3,20.3,6,M30,17.65,0.25,High
10.05,30.74,23.0,3485.73,55.1,1.2,77.0,7,M30,14.25,0.61,Low
13.94,62.29,17.26,1081.95,33.5,20.3,77.1,4,M30,0.97,0.73,Low
8.37,64.73,69.51,607.51,23.0,40.9,79.2,8,M40,19.91,0.93,Medium
8.6,43.47,47.55,919.39,34.7,4.1,89.8,10,M20,1.61,0.52,Medium
4.24,43.1,82.5,3282.83,6.3,46.1,28.8,8,M20,23.58,1.23,High
11.55,99.6,17.46,1868.54,60.1,47.3,37.4,1,M30,5.38,0.7,Low
2.85,94.93,59.9,1340.38,19.0,47.5,87.8,8,M30,12.81,0.47,Medium
4.89,37.63,24.79,3069.53,54.7,40.3,33.3,10,M20,1.59,0.55,Low
6.41,109.74,18.32,1442.97,6.1,11.8,71.2,3,M20,22.37,1.03,Medium
7.64,114.38,63.09,1239.03,71.7,-5.6,59.8,5,M50,24.5,0.9,Medium
3.67,39.88,55.46,804.76,15.3,24.1,26.2,10,M20,3.66,1.02,Medium
1.77,43.18,69.16,1384.51,66.3,23.5,41.4,8,M40,7.39,0.52,Medium
9.18,61.17,31.3,1176.73,60.9,41.0,59.0,6,M30,0.4,0.56,Low
4.37,112.99,43.08,2402.83,72.6,49.8,83.9,4,M40,19.67,0.64,Medium
8.74,105.28,39.47,1084.58,36.4,20.5,73.1,4,M20,7.79,0.41,Medium
2.36,13.21,88.65,2062.48,54.8,10.7,66.6,4,M40,14.72,0.96,High
7.24,47.73,29.84,324.03,28.4,1.2,57.2,6,M20,0.98,0.56,Low
8.01,66.85,30.06,750.38,14.6,-9.7,42.4,7,M30,17.89,0.56,Low
0.82,60.87,35.14,1485.18,33.8,20.5,28.9,5,M20,13.24,0.5,Medium
5.08,24.07,52.99,3285.63,13.3,23.3,50.7,10,M40,18.12,0.7,Medium
2.06,103.2,26.45,1382.66,73.7,39.5,22.1,8,M40,19.74,1.05,Low
1.0,81.56,82.8,2357.85,8.1,20.3,35.8,7,M30,2.23,1.12,High
14.85,100.71,27.58,967.3,44.6,45.0,52.4,8,M30,14.45,1.08,Low
4.87,103.19,81.14,531.91,47.4,27.7,51.4,4,M40,16.25,0.88,Medium
12.16,90.05,13.8,299.02,40.8,40.4,23.3,8,M40,12.92,0.51,Low
3.86,53.27,60.81,1138.41,50.0,-1.1,64.2,6,M30,4.56,1.01,Medium
10.24,73.66,82.09,636.05,9.6,41.3,61.2,3,M50,19.89,0.24,Medium
11.42,20.08,19.34,691.64,42.1,30.5,25.9,8,M30,24.94,1.08,Low
8.95,81.16,87.31,2686.58,22.3,0.2,90.7,7,M20,24.23,1.06,High
7.1,22.33,43.5,153.85,70.6,1.4,27.5,10,M20,19.44,0.94,Medium
6.21,83.58,85.39,1996.55,57.4,45.6,84.1,5,M40,10.45,0.31,Medium
5.27,28.32,62.53,1390.17,73.0,-8.1,20.0,4,M30,8.43,1.3,Medium
13.95,14.99,30.63,1822.27,3.8,17.8,86.2,1,M20,1.71,1.03,Medium
12.47,20.67,21.01,2013.62,22.1,8.8,21.5,10,M20,10.41,1.01,Low
14.48,1.24,30.82,1165.45,15.5,29.9,76.8,3,M30,3.9,0.27,Low
1.91,86.53,12.91,1103.37,1.8,40.4,47.1,2,M20,6.36,0.64,Low
10.98,88.16,17.23,2593.57,18.9,11.6,75.4,8,M20,22.3,0.29,Low
14.08,62.28,13.9,3062.34,51.2,15.6,50.1,8,M50,24.21,0.6,Low
2.76,20.2,40.95,754.78,18.1,48.9,25.3,5,M30,23.71,0.83,Low
1.04,10.94,72.62,431.9,38.7,37.0,77.6,5,M20,4.83,1.17,High
11.13,3.28,17.02,3152.51,66.7,43.8,25.3,4,M40,22.52,0.51,Low
8.64,20.72,16.08,1289.64,52.3,16.3,89.2,1,M40,3.54,0.89,Low
12.64,107.01,59.69,1974.48,30.2,4.0,23.8,1,M30,12.69,0.38,High
2.14,29.74,21.76,1322.45,28.6,14.7,55.9,6,M20,16.09,0.59,Low
11.94,43.16,13.3,527.73,34.7,33.0,74.2,4,M40,11.56,1.24,Low
3.06,13.54,19.18,2103.73,14.1,-3.4,49.5,4,M30,23.8,1.02,Low
2.5,27.46,83.52,1885.48,47.9,6.2,36.3,3,M30,8.33,0.8,High
2.51,62.79,74.83,790.18,27.9,-7.2,76.9,9,M30,13.18,0.48,Medium
12.23,73.32,35.1,1636.35,64.1,15.9,78.8,3,M40,1.89,0.62,Low
9.99,30.2,60.74,2809.62,57.0,39.6,89.2,8,M30,21.31,0.37,Medium
7.87,7.87,50.67,2107.45,46.2,-8.5,48.2,2,M50,10.33,0.59,Medium
5.41,47.53,62.56,429.52,28.0,30.5,58.0,4,M30,17.51,0.37,Medium
13.16,28.87,63.03,1963.27,16.5,45.9,47.2,1,M40,17.06,1.07,Medium
5.92,27.13,58.44,2489.31,58.4,4.2,39.3,5,M30,16.91,0.29,Medium
12.26,115.22,27.62,2795.19,37.0,31.6,76.3,2,M30,12.67,0.41,Low
6.62,74.34,8.32,2239.0,17.6,48.5,45.5,1,M30,6.94,0.96,Low
5.69,67.27,43.72,619.04,15.4,47.7,52.1,1,M20,15.63,1.19,High
6.97,50.48,80.73,2514.59,13.2,4.1,50.3,2,M20,24.04,1.26,High
4.56,52.04,53.41,2402.96,58.5,-4.0,73.4,5,M40,20.85,1.12,Medium
11.23,65.37,75.75,183.05,17.9,-1.1,88.8,9,M40,2.72,0.43,Medium
7.57,83.88,89.29,1499.94,40.0,32.1,70.0,6,M20,0.58,0.51,High
3.52,84.56,18.91,1232.03,34.4,33.5,55.4,4,M30,12.47,1.16,Low
13.5,21.43,63.8,2376.0,43.9,30.5,78.4,3,M20,19.4,1.18,High
5.79,60.51,62.31,834.86,65.9,10.2,68.1,8,M40,7.85,0.9,Medium
8.18,50.02,88.3,2108.96,65.2,0.2,24.5,3,M20,17.53,0.55,High
13.6,104.59,88.78,3204.9,34.4,24.8,27.2,1,M40,23.3,0.45,High
9.38,76.14,63.37,2812.53,2.1,19.0,22.8,4,M30,11.47,1.14,Medium
1.8,64.37,25.71,3232.96,32.6,33.7,54.3,5,M30,6.1,0.43,Low
14.1,14.73,72.88,3426.92,45.9,16.5,81.9,5,M20,22.94,0.93,High
9.43,73.07,14.1,136.28,42.3,10.3,43.5,5,M30,11.81,1.26,Low
5.06,14.95,71.36,2217.32,49.2,7.6,48.8,8,M40,10.2,0.98,Medium
2.13,41.13,82.37,1503.65,12.4,2.7,88.2,8,M40,8.83,0.48,Medium
11.92,18.0,37.54,3023.51,48.8,5.9,82.8,4,M40,10.58,0.51,Medium
9.32,83.36,58.6,956.17,14.5,-4.3,69.9,9,M40,16.84,0.3,Low
8.03,25.54,41.56,3435.5,56.5,10.8,40.0,1,M20,10.84,0.95,High
13.41,47.63,42.21,2186.61,26.1,-7.8,28.8,5,M20,8.11,0.77,High
11.84,107.59,31.38,2798.03,53.5,1.2,21.2,5,M40,18.59,0.43,Low
2.32,25.31,69.78,391.04,4.5,34.8,28.0,5,M40,5.07,0.45,Low
4.71,61.43,84.58,723.76,31.2,9.5,41.9,8,M40,5.05,0.21,Medium
3.76,50.89,84.96,2678.57,53.2,30.1,61.4,9,M30,17.41,1.28,High
11.17,3.16,19.86,174.75,17.8,33.0,24.8,3,M30,21.67,1.11,Low
0.55,95.34,79.35,2877.39,59.9,24.9,30.2,9,M20,6.03,0.63,High
8.57,9.22,67.68,147.43,47.7,47.5,33.6,8,M40,4.78,1.24,Medium
11.45,57.44,26.49,2334.2,44.5,-8.7,67.4,3,M50,16.76,0.94,Low
13.16,67.72,10.72,1341.32,27.2,34.3,66.2,2,M30,15.52,1.03,Low
5.16,75.78,27.78,2179.08,36.7,47.5,61.3,4,M30,11.18,0.95,Low
12.33,82.95,82.54,2466.51,45.2,41.7,38.8,2,M20,2.4,1.03,High
1.7,31.14,58.82,1264.42,36.0,0.1,47.8,4,M20,2.29,0.39,High
12.7,2.19,66.29,467.07,52.7,9.6,27.3,5,M30,19.43,0.82,High
1.96,87.09,26.86,336.8,33.1,0.3,37.0,2,M50,11.29,1.13,Low
5.99,64.74,66.15,2102.38,16.0,26.1,87.3,8,M40,21.45,0.22,Medium
11.97,100.5,7.39,1870.23,16.8,32.7,93.5,1,M40,14.37,0.34,Low
2.29,98.75,36.9,2623.48,1.4,9.0,68.6,3,M30,15.47,0.47,Low
3.48,101.36,58.27,1833.1,23.3,22.4,88.8,7,M30,23.35,0.52,Medium
10.85,58.73,17.42,1536.32,56.4,31.5,68.2,10,M50,4.12,0.4,Low
10.81,40.7,74.96,1453.5,59.8,15.3,22.5,1,M30,13.58,0.89,High
9.64,95.2,24.98,189.92,16.0,41.2,94.8,2,M50,1.45,0.52,Low
10.42,54.7,60.44,1240.89,72.0,36.3,27.4,3,M40,8.97,0.37,Medium
8.16,22.83,39.44,3418.47,38.2,-6.1,71.2,2,M30,3.7,1.2,Medium
3.81,102.74,55.66,3070.09,68.9,27.3,39.0,2,M30,4.7,0.96,Medium
5.22,106.02,14.13,1219.89,53.3,4.1,49.4,6,M30,23.37,0.47,Low
2.76,56.49,6.44,2098.5,54.5,23.5,68.4,7,M20,15.27,0.6,Low
13.63,10.01,82.31,2980.81,7.3,47.4,52.7,6,M30,22.3,1.01,High
8.77,47.15,27.92,1600.33,17.3,42.7,38.8,6,M40,11.09,1.07,Low
6.04,96.62,74.67,161.06,1.7,14.3,45.1,9,M40,14.94,0.39,Medium
6.96,108.31,89.94,353.34,54.0,7.5,45.6,8,M20,0.8,1.23,High
14.21,25.21,22.97,1835.34,26.5,4.1,91.9,8,M30,11.74,1.06,Low
2.34,8.97,27.54,3396.09,59.2,22.0,79.9,6,M30,14.1,1.14,Low
8.81,105.4,61.34,2456.91,26.1,-3.1,54.4,5,M30,0.42,0.36,Medium
7.61,47.34,87.06,341.12,61.6,23.0,35.0,9,M30,19.74,0.36,High
9.19,65.47,82.84,743.83,10.7,-9.9,80.8,2,M40,7.39,0.54,Medium
0.32,116.2,47.74,2722.5,13.8,9.4,31.8,7,M30,11.31,0.27,Low
13.09,8.92,72.58,2960.9,26.2,3.2,35.8,6,M20,13.39,0.3,High
13.99,78.15,16.54,2200.16,31.2,48.3,47.5,7,M30,24.8,0.36,Low
8.5,9.82,88.08,2291.04,26.8,33.6,86.0,4,M30,2.48,0.98,High
10.46,45.68,86.97,196.35,57.5,11.0,29.9,9,M20,13.88,0.23,High
13.84,96.65,18.92,2917.0,8.2,-4.4,29.2,7,M30,13.26,0.29,Low
10.62,52.58,30.45,2780.14,27.0,21.0,57.0,2,M30,1.72,1.24,Low
2.33,119.66,13.51,980.72,63.0,2.8,40.7,4,M40,15.85,0.29,Low
8.67,67.53,28.1,2509.5,5.9,22.2,62.7,5,M40,7.17,0.79,Low
9.12,39.22,74.36,830.51,70.7,40.1,53.9,2,M40,2.59,0.91,Medium
6.39,27.19,37.16,237.12,74.0,26.9,52.6,10,M30,4.47,1.25,Low
11.06,42.71,12.51,783.86,7.6,28.0,28.4,8,M20,20.59,1.19,Low
14.02,45.33,34.09,707.34,22.6,22.5,30.6,1,M30,2.6,0.68,Low
13.89,9.18,88.42,1248.34,28.6,45.6,81.6,3,M40,11.67,1.24,High
6.79,44.98,58.52,1522.73,58.5,45.9,86.4,1,M30,4.88,0.68,Medium
1.74,56.24,40.37,1829.03,45.1,20.8,37.6,5,M30,4.06,0.94,Low
14.77,87.01,19.16,1720.96,48.7,8.3,28.5,8,M20,5.14,0.49,Low
12.59,79.15,88.83,1020.29,57.1,17.6,24.0,7,M50,12.32,0.9,Medium
1.91,85.34,74.77,199.18,9.7,1.2,65.6,9,M50,5.94,0.79,Low
13.82,2.0,28.93,2157.35,62.7,28.2,73.7,2,M20,2.42,0.87,Medium
13.05,26.9,10.96,1445.53,53.2,20.0,48.0,8,M40,20.04,0.95,Low
7.81,79.74,9.81,1115.49,43.7,-3.8,71.0,8,M20,13.5,0.39,Low
8.89,58.59,15.23,3047.6,66.8,1.9,73.5,6,M30,3.92,0.53,Low
6.02,1.63,54.37,2638.93,52.8,18.8,90.2,3,M20,11.79,1.01,High
0.87,96.73,83.94,3016.4,15.9,43.3,24.9,2,M20,1.71,0.38,High
5.06,92.96,47.22,1782.94,32.8,24.0,34.4,8,M20,14.51,0.58,Medium
12.05,66.26,76.65,545.17,37.6,30.9,25.1,6,M50,8.51,0.93,Medium
0.12,8.91,42.9,2467.15,5.1,10.3,85.1,4,M40,2.59,1.23,Low
5.04,92.22,65.23,800.65,71.6,24.3,79.4,5,M20,4.59,0.28,High
6.0,70.46,67.21,1600.18,10.5,16.8,63.1,5,M30,8.64,0.77,Medium
8.08,94.05,19.79,321.0,52.6,29.5,26.3,9,M20,20.16,0.29,Low
13.8,90.46,35.7,2906.05,38.5,-7.0,40.5,9,M20,4.34,0.62,Medium
5.23,96.56,59.17,528.2,2.9,19.6,42.3,8,M40,2.74,0.39,Low
5.24,62.64,11.01,3170.53,69.4,7.8,62.1,8,M20,12.9,0.91,Low
11.08,17.7,35.73,3038.38,64.0,9.6,39.4,2,M30,13.97,1.03,Medium
6.81,80.87,50.46,1679.58,39.8,47.7,25.5,3,M30,2.26,0.47,Medium
3.41,74.84,89.68,2630.85,17.9,1.0,74.8,8,M20,7.11,0.98,High
6.81,89.33,45.34,2206.11,10.0,8.7,42.4,5,M30,6.57,0.69,Medium
2.16,21.22,74.36,2830.46,27.9,20.6,53.9,7,M50,4.66,0.51,Low
2.69,24.2,41.73,1568.14,19.9,41.8,29.6,8,M40,7.89,0.78,Low
7.5,106.96,72.69,2771.75,38.5,15.0,80.2,6,M20,0.93,0.62,High
6.31,90.25,55.61,1672.35,72.5,34.6,62.4,5,M40,16.29,0.45,Medium
13.73,109.08,80.36,3299.28,43.5,41.4,87.6,8,M50,24.71,1.03,High
5.47,91.29,39.93,1753.67,66.9,8.6,57.2,1,M20,15.85,1.08,High
8.73,72.06,56.37,1672.91,49.2,13.6,90.6,1,M30,9.03,1.08,Medium
9.5,78.84,58.55,2769.24,36.2,11.4,86.9,1,M20,16.7,0.62,High
0.25,106.81,40.48,2893.36,64.2,40.0,63.2,3,M30,14.29,0.39,Medium
9.97,69.88,17.27,1985.26,35.9,-7.3,90.0,10,M40,21.17,1.12,Low
2.71,76.25,12.95,711.31,65.3,8.5,44.2,6,M20,15.55,0.56,Low
14.42,19.62,6.42,1690.38,22.6,30.8,47.4,6,M20,15.85,1.02,Low
2.27,57.4,79.25,3391.45,10.5,23.9,23.4,5,M30,5.54,1.1,High
6.25,86.25,25.1,2660.15,64.3,16.2,64.2,7,M30,10.39,1.04,Low
1.33,33.24,22.98,2857.95,44.5,22.4,74.1,5,M30,8.61,0.63,Low
14.95,25.07,67.56,211.61,66.8,1.9,78.0,2,M40,0.29,1.23,Medium
7.56,38.35,32.2,1690.72,70.4,15.8,31.2,4,M20,7.83,0.93,Medium
8.95,29.74,48.01,2298.51,5.0,20.1,53.3,1,M30,12.15,0.83,Medium
1.05,26.57,18.81,2922.11,38.1,44.1,33.3,7,M20,15.0,0.97,Low
11.26,51.56,86.58,267.53,28.7,5.7,69.7,4,M50,23.36,0.25,Medium
3.19,109.03,77.38,2998.29,47.3,42.1,31.8,4,M30,5.98,0.63,High
13.48,61.34,78.42,1964.56,59.7,28.7,87.8,4,M20,3.81,1.17,High
3.12,23.36,39.58,770.87,21.8,-8.8,37.3,3,M20,21.74,0.38,Medium
2.9,10.16,69.8,1178.67,42.2,33.5,41.9,8,M20,23.55,0.66,High
0.6,83.84,17.23,1058.56,53.4,-7.9,83.8,4,M20,12.2,0.65,Low
7.11,46.55,5.73,1904.92,10.9,49.8,54.4,8,M30,2.88,0.59,Low
8.49,98.8,6.7,275.73,61.2,42.4,21.8,9,M40,12.13,0.82,Low
1.03,79.48,54.86,639.02,45.9,7.8,57.1,1,M30,2.74,1.3,Medium
11.64,95.75,43.71,2863.16,71.3,5.4,26.3,4,M30,22.08,0.48,Medium
6.83,33.36,49.03,550.85,26.1,12.9,93.9,6,M40,17.7,0.98,Low
7.89,83.39,5.63,893.55,9.0,11.4,64.1,8,M30,6.03,1.03,Low
6.64,32.42,40.93,1641.46,38.5,12.3,39.2,6,M20,22.17,0.84,Medium
6.04,112.75,66.04,1858.21,7.3,9.1,62.3,6,M20,15.95,0.31,High
8.42,76.73,42.63,2696.28,72.7,27.3,25.8,10,M40,23.83,0.83,Medium
2.37,39.62,67.24,1620.93,3.9,-0.1,80.0,4,M40,24.51,1.25,Medium
2.77,33.07,24.81,2785.54,56.8,40.8,89.4,9,M20,0.08,0.58,Low
12.93,23.72,74.12,2202.38,39.9,38.7,85.6,7,M20,3.01,0.9,High
14.19,83.66,55.02,484.54,28.3,18.6,45.6,6,M40,13.67,1.26,Medium
5.63,27.03,22.91,631.53,5.9,41.2,44.4,1,M30,23.9,1.08,Low
4.1,71.84,25.12,1585.91,47.0,4.8,22.6,2,M40,24.86,0.96,Low
9.68,32.49,58.38,1449.42,44.3,-8.9,68.9,6,M20,14.19,1.27,High
6.16,79.77,75.54,2628.05,21.8,27.2,60.1,1,M50,4.35,0.39,Medium
0.43,97.98,40.33,2074.51,68.4,17.5,54.5,5,M40,4.08,1.05,Low
2.38,93.59,26.96,1419.65,23.5,24.0,88.1,1,M20,19.1,0.65,Medium
10.75,91.54,78.7,680.58,34.3,44.0,32.6,3,M30,14.8,0.6,High
9.9,23.34,61.89,871.25,41.2,48.2,20.7,7,M20,13.72,0.77,High
0.46,11.52,43.09,2056.7,8.4,28.1,25.5,5,M30,11.64,0.24,Low
3.37,84.17,46.47,1539.69,70.0,35.8,36.8,10,M40,18.13,0.54,Low
3.5,44.83,22.36,1850.75,28.7,-5.0,22.5,1,M30,21.45,0.38,Low
10.09,52.45,58.28,680.3,7.0,-0.4,57.7,1,M40,7.57,0.35,Medium
0.34,4.71,35.49,2353.88,29.7,34.0,43.6,8,M20,5.52,0.57,Medium
1.61,31.89,89.63,2998.63,45.4,15.9,33.5,9,M40,16.75,1.08,Medium
12.01,5.01,45.82,976.99,39.0,16.8,76.3,7,M30,22.87,0.42,Medium
2.72,105.62,46.3,1771.15,52.4,8.5,35.3,3,M40,8.7,0.78,Low
9.81,29.96,53.1,3416.79,5.1,26.4,71.6,6,M20,6.81,1.02,High
3.61,67.32,82.92,1233.02,22.1,1.1,46.2,3,M30,5.65,0.47,High
1.54,5.64,73.07,2123.16,61.6,27.6,58.4,10,M30,6.36,1.22,Medium
3.69,80.35,43.35,406.67,6.9,0.4,90.0,4,M30,3.37,1.15,Low
10.85,39.44,66.09,2160.45,64.3,-6.2,22.8,4,M30,14.92,0.48,High
12.84,107.85,54.83,404.75,7.8,9.8,57.5,3,M30,7.02,1.29,Medium
12.46,106.69,46.85,3361.4,62.7,3.9,84.1,10,M50,15.37,0.94,Medium
5.99,39.71,21.35,2533.25,27.7,43.3,64.1,6,M20,2.08,0.51,Low
10.04,108.21,44.43,2779.74,46.3,-6.7,40.8,5,M40,2.89,0.95,Medium
3.11,119.54,25.89,2493.95,12.3,0.6,49.8,9,M30,13.4,0.93,Low
4.43,99.22,82.76,2105.08,5.9,22.9,71.0,9,M30,12.79,0.87,High
13.45,101.54,33.51,1629.7,17.0,18.9,86.8,3,M30,6.79,0.98,Medium
0.24,30.63,85.94,3018.47,10.5,-7.2,23.1,9,M40,20.68,0.5,Medium
1.33,69.63,50.31,3353.24,24.1,-9.6,25.4,3,M30,4.68,1.28,Medium
3.16,9.0,58.68,1796.72,39.1,49.3,44.4,4,M40,9.02,1.14,Medium
0.45,12.3,51.15,3267.22,44.6,29.5,37.5,1,M20,13.89,1.02,High
2.76,119.87,16.0,2083.33,59.5,11.9,39.9,5,M40,21.68,0.23,Low
8.77,39.87,36.94,1930.51,49.6,18.2,36.6,9,M30,10.46,0.85,Low
6.35,90.03,13.43,1645.24,46.0,6.0,34.7,2,M30,9.97,0.98,Low
13.4,96.99,57.95,811.58,31.5,10.7,29.8,4,M30,14.49,1.14,High
12.27,103.1,42.98,112.65,36.1,28.9,90.0,10,M30,7.92,1.24,Medium
5.16,119.72,71.13,921.12,31.7,43.0,30.8,2,M30,17.73,1.21,High
3.93,29.74,23.74,1833.06,63.3,1.0,35.3,8,M30,6.22,0.65,Low
5.73,5.8,18.99,1391.86,18.0,40.4,38.5,9,M30,20.58,1.19,Low
8.87,49.93,39.54,1624.85,1.4,-2.7,90.0,3,M30,6.81,0.2,Low
4.06,16.48,83.76,3434.2,49.2,2.9,76.7,9,M30,24.82,0.59,High
9.38,3.67,65.39,1290.93,16.0,-7.8,79.2,6,M20,7.91,0.33,High
6.17,43.89,40.61,1637.42,66.9,-1.6,27.9,6,M40,21.97,1.17,Medium
8.3,94.26,48.97,553.95,64.6,45.0,82.7,7,M40,9.93,1.22,Medium
6.57,68.38,12.16,263.06,6.7,17.6,50.6,5,M20,6.15,0.48,Low
4.45,38.22,88.69,2736.39,8.9,-5.3,39.7,6,M20,5.65,0.6,High
14.23,78.87,61.64,2040.32,37.6,47.6,63.2,1,M20,21.25,1.28,High
11.47,28.61,29.26,2686.4,46.1,42.7,81.7,3,M40,7.72,0.82,Low
2.14,2.71,54.79,609.53,21.3,35.3,78.4,9,M40,8.46,0.75,Low
13.03,91.96,14.31,2044.22,54.0,46.0,86.7,5,M20,4.92,0.75,Low
7.34,75.23,87.1,962.38,45.0,3.2,89.6,5,M40,24.03,0.97,High
13.42,91.71,19.86,875.41,25.0,40.2,37.9,8,M20,6.12,1.25,Low
