vibration_amplitude_mm,vibration_frequency_hz,stress_mPa,strain_micro,concrete_age_years,ambient_temp_c,humidity_pct,maintenance_score,material_grade,foundation_settlement_mm,load_ratio,failure_risk,material_grade_encoded,failure_risk_encoded,stress_capacity_ratio,vibration_severity_index,maintenance_decay_index,settlement_load_interaction,environmental_exposure_index,age_group_encoded
9.51,92.96,14.89,699.06,59.9,40.6,53.7,6,M20,0.2,1.21,Low,0,1,0.7445,884.05,9.82,0.242,32.54,2
13.98,29.2,87.46,2161.14,44.2,20.7,41.0,8,M30,18.35,1.07,High,1,0,2.9153,408.22,5.457,19.635,16.69,2
1.58,81.61,6.87,1245.53,50.7,37.4,30.6,7,M50,3.28,0.67,Low,3,1,0.1374,128.94,7.141,2.198,17.56,2
14.06,68.33,73.23,2090.65,74.3,0.8,71.3,9,M30,5.71,0.28,High,1,0,2.441,960.72,8.165,1.599,14.83,2
10.33,111.57,71.98,1173.22,7.7,24.4,43.4,2,M30,3.0,1.16,High,1,0,2.3993,1152.52,3.667,3.48,19.27,0
1.06,47.09,30.26,395.59,50.4,49.0,88.2,9,M30,6.18,1.04,Low,1,1,1.0087,49.92,5.538,6.427,60.86,2
4.55,8.87,16.53,858.03,22.0,7.5,70.3,4,M30,19.95,1.07,Low,1,1,0.551,40.36,5.366,21.346,19.33,1
10.64,3.28,17.38,739.4,48.4,37.7,68.4,3,M20,3.31,1.02,Low,0,1,0.869,34.9,15.613,3.376,39.47,2
1.06,99.4,64.28,1555.27,46.0,19.4,62.0,7,M30,24.85,0.5,Medium,1,2,2.1427,105.36,6.479,12.425,24.43,2
8.75,63.44,59.64,2338.16,12.4,-7.6,23.4,5,M50,8.18,1.14,Medium,3,2,1.1928,555.1,2.431,9.325,2.9,0
5.22,93.25,71.53,996.94,16.3,35.8,89.9,5,M20,23.05,0.21,High,0,0,3.5765,486.76,3.196,4.84,50.16,1
9.33,28.9,84.69,141.04,47.0,0.1,67.1,2,M30,4.75,0.46,High,1,0,2.823,269.64,22.381,2.185,13.49,2
0.73,42.06,63.81,1864.39,10.5,27.9,94.6,6,M20,4.7,0.25,High,0,0,3.1905,30.7,1.721,1.175,45.31,0
13.08,4.58,18.25,2159.58,20.6,-4.9,60.3,6,M30,14.13,0.32,Low,1,1,0.6083,59.91,3.377,4.522,9.11,1
14.6,115.42,25.69,3373.76,62.8,46.8,73.3,4,M30,1.27,0.79,Medium,1,2,0.8563,1685.13,15.317,1.003,48.96,2
14.53,80.48,76.59,2104.2,25.2,7.5,24.2,5,M30,20.03,0.24,High,1,0,2.553,1169.37,4.941,4.807,6.65,1
11.26,112.05,22.79,1701.99,37.1,3.6,67.4,7,M30,10.99,0.4,Low,1,1,0.7597,1261.68,5.225,4.396,15.91,1
1.99,32.59,11.16,2049.57,70.6,-2.3,77.3,8,M20,17.48,0.46,Low,0,1,0.558,64.85,8.716,8.041,13.68,2
11.39,73.76,64.78,3254.86,17.8,46.8,78.4,6,M40,4.37,0.92,Medium,2,2,1.6195,840.13,2.918,4.02,52.37,1
0.42,81.74,39.21,2916.49,29.8,32.7,77.8,5,M30,16.06,0.72,Low,1,1,1.307,34.33,5.843,11.563,41.0,1
0.38,38.79,83.2,1198.13,45.9,34.5,37.0,3,M20,14.85,0.7,High,0,0,4.16,14.74,14.806,10.395,20.16,2
4.89,101.92,60.27,906.66,56.9,20.0,93.2,7,M50,18.89,1.05,Medium,3,2,1.2054,498.39,8.014,19.835,37.28,2
7.36,113.71,12.69,992.95,67.7,18.5,94.6,8,M20,7.44,0.7,Low,0,1,0.6345,836.91,8.358,5.208,36.42,2
11.57,106.3,85.57,1815.03,68.7,-3.4,25.7,3,M40,23.33,0.58,High,2,0,2.1392,1229.89,22.161,13.531,4.27,2
10.27,88.95,26.98,2629.77,58.5,23.6,90.2,5,M30,24.03,1.26,Medium,1,2,0.8993,913.52,11.471,30.278,39.33,2
6.72,34.02,33.66,1810.95,17.9,4.8,41.7,2,M30,21.7,0.21,Low,1,1,1.122,228.61,8.524,4.557,10.34,1
4.14,34.51,39.19,330.51,2.8,48.6,71.7,10,M20,14.3,0.54,Medium,0,2,1.9595,142.87,0.277,7.722,49.19,0
14.91505,115.64,9.35,2560.17,29.4,37.8,45.4,10,M30,10.51,0.87,Low,1,1,0.3117,1724.78,2.911,9.144,26.24,1
6.42,2.22,47.2,2840.3,11.5,14.8,92.6,4,M20,1.45,1.06,Medium,0,2,2.36,14.25,2.805,1.537,32.22,0
6.8,86.21,15.48,1084.29,53.6,-0.9,27.6,4,M40,23.68,1.1,Low,2,1,0.387,586.23,13.073,26.048,5.27,2
2.5,85.04,39.08,2358.03,49.9,37.1,57.3,8,M40,23.79,0.25,Low,2,1,0.977,212.6,6.16,5.948,32.72,2
11.93,75.1,34.81,1550.41,4.3,-2.7,52.1,3,M40,0.47,0.98,Low,2,1,0.8702,895.94,1.387,0.461,9.01,0
10.42,118.82,70.69,3123.01,62.9,1.4,44.5,5,M40,8.92,0.99,Medium,2,2,1.7672,1238.1,12.333,8.831,9.52,2
3.35,38.11,73.27,2973.77,19.4,2.7,68.4,5,M50,22.0,0.44,Medium,3,2,1.4654,127.67,3.804,9.68,15.53,1
1.28,41.46,18.04,1886.47,33.0,23.4,29.8,2,M30,2.02,0.32,Low,1,1,0.6013,53.07,15.714,0.646,12.93,1
10.22,10.39,36.16,2451.12,50.4,37.2,73.7,9,M40,4.91,1.02,Low,2,1,0.904,106.19,5.538,5.008,42.16,2
9.83,53.69,36.74,3103.39,32.8,8.9,93.5,4,M20,24.47,0.47,High,0,0,1.837,527.77,8.0,11.501,27.02,1
4.14,32.06,17.87,1785.44,33.7,-4.9,80.3,9,M40,21.18,0.21,Low,2,1,0.4468,132.73,3.703,4.448,12.13,1
14.27,41.86,72.87,1165.05,5.9,17.9,84.5,9,M40,22.8,0.45,Medium,2,2,1.8218,597.34,0.648,10.26,32.03,0
2.31,100.31,65.11,2662.46,30.7,34.9,47.0,2,M20,3.55,0.23,High,0,0,3.2555,231.72,14.619,0.816,25.8,1
6.51,112.32,21.18,848.23,57.6,3.3,44.4,9,M30,5.28,0.47,Low,1,1,0.706,731.2,6.33,2.482,10.35,2
14.16,23.1,36.17,1421.01,68.7,3.2,58.8,9,M50,15.14,0.57,Low,3,1,0.7234,327.1,7.549,8.63,13.64,2
6.32,45.33,13.99,3043.47,31.6,46.8,23.4,2,M20,12.54,0.5,Low,0,1,0.6995,286.49,15.048,6.27,15.63,1
9.6,111.51,58.4,2563.04,32.3,47.2,90.9,6,M30,7.46,1.21,Medium,1,2,1.9467,1070.5,5.295,9.027,61.08,1
5.99,8.36,15.32,1472.96,53.0,49.4,30.8,9,M30,22.1,0.46,Low,1,1,0.5107,50.08,5.824,10.166,21.38,2
4.15,11.99,88.8,830.13,70.8,38.5,87.7,4,M30,22.53,0.71,High,1,0,2.96,49.76,17.268,15.996,51.3,2
14.76,20.37,71.36,1310.29,20.8,1.3,26.3,2,M20,7.29,1.25,High,0,0,3.568,300.66,9.905,9.112,5.6,1
6.17,71.83,38.17,1065.95,33.6,2.7,81.7,7,M20,3.89,1.17,Medium,0,2,1.9085,443.19,4.732,4.551,18.55,1
13.42,18.91,54.18,698.7,59.9,10.4,31.4,9,M20,3.73,0.54,High,0,0,2.709,253.77,6.582,2.014,9.55,2
3.49,116.2,82.46,2627.33,46.1,9.1,22.9,6,M40,12.11,0.56,Medium,2,2,2.0615,405.54,7.557,6.782,6.66,2
3.24,54.16,52.1,957.04,9.2,47.4,74.0,4,M30,3.32,0.85,Medium,1,2,1.7367,175.48,2.244,2.822,49.88,0
0.52,60.68,19.83,1644.17,47.5,37.3,41.0,1,M30,11.83,1.21,Low,1,1,0.661,31.55,43.182,14.314,23.49,2
9.79,30.35,37.19,1411.92,14.8,33.4,73.6,4,M30,11.55,0.21,Low,1,1,1.2397,297.13,3.61,2.426,39.3,0
5.56,57.04,76.67,3439.06,38.8,1.2,61.6,3,M20,22.1,0.63,High,0,0,3.8335,317.14,12.516,13.923,13.06,1
12.97,79.77,59.76,1429.71,40.2,44.6,28.2,7,M50,7.41,1.13,Medium,3,2,1.1952,1034.62,5.662,8.373,18.22,2
7.12,90.39,60.31,371.94,65.8,39.7,89.9,10,M40,14.02,0.65,Medium,2,2,1.5078,643.58,6.515,9.113,53.67,2
14.52,90.71,78.68,405.41,35.2,-0.2,53.9,5,M30,18.59,0.99,High,1,0,2.6227,1317.11,6.902,18.404,10.67,1
2.82,69.77,80.99,2108.56,21.7,42.3,75.1,3,M30,14.9,0.96,High,1,0,2.6997,196.75,7.0,14.304,46.79,1
13.04,108.62,83.18,2137.84,18.1,6.3,57.6,2,M30,23.85,0.43,High,1,0,2.7727,1416.4,8.619,10.256,15.15,1
11.66,98.27,13.06,1523.78,65.7,-5.1,65.3,2,M30,15.06,0.69,Low,1,1,0.4353,1145.83,31.286,10.391,9.73,2
11.58,91.09,51.25,1568.27,13.7,29.4,42.7,5,M20,22.55,0.82,High,0,0,2.5625,1054.82,2.686,18.491,21.09,0
12.68,7.62,67.94,283.37,32.5,29.2,35.0,8,M30,6.13,0.99,Medium,1,2,2.2647,96.62,4.012,6.069,17.22,1
11.43,1.82,69.34,1856.26,14.9,-4.3,60.7,8,M50,14.02,1.1,Medium,3,2,1.3868,20.8,1.84,15.422,9.53,0
9.41,26.28,56.57,1816.11,58.2,9.1,53.0,5,M20,13.58,1.04,High,0,0,2.8285,247.29,11.412,14.123,15.42,2
2.01,79.96,19.18,608.47,36.1,49.6,49.3,2,M30,24.74,0.23,Low,1,1,0.6393,160.72,17.19,5.69,34.31,1
0.54,49.93,72.78,453.05,27.0,30.7,70.4,4,M20,5.11,0.94,High,0,0,3.639,26.96,6.585,4.803,35.69,1
13.82,48.89,66.21,520.15,27.7,33.8,71.8,7,M20,3.52,0.75,High,0,0,3.3105,675.66,3.901,2.64,38.63,1
9.27,106.27,12.32,443.5,64.1,2.8,23.4,6,M30,15.29,0.83,Low,1,1,0.4107,985.12,10.508,12.691,5.34,2
11.96,107.57,44.42,2173.01,42.0,-5.3,45.4,10,M20,5.59,0.61,Medium,0,2,2.221,1286.54,4.158,3.41,6.67,2
7.25,109.19,19.79,768.04,54.1,6.6,50.9,7,M50,15.98,0.99,Low,3,1,0.3958,791.63,7.62,15.82,13.54,2
1.8,38.35,33.69,954.86,67.4,4.9,27.3,5,M30,24.31,0.94,Low,1,1,1.123,69.03,13.216,22.851,6.8,2
1.92,83.24,6.54,690.15,67.7,4.1,37.7,2,M20,23.66,0.84,Low,0,1,0.327,159.82,32.238,19.874,9.09,2
10.3,33.32,39.03,3356.64,25.3,1.6,23.9,8,M30,5.78,1.15,Medium,1,2,1.301,343.2,3.123,6.647,5.16,1
6.48,23.68,51.74,3005.7,71.5,24.5,94.6505,2,M40,4.27,0.31,Medium,2,2,1.2935,153.45,34.048,1.324,42.12,2
3.05,22.97,57.66,883.68,2.8,9.7,75.2,8,M20,14.02,0.53,High,0,0,2.883,70.06,0.346,7.431,22.33,0
7.4,41.71,61.4,1213.73,28.9,39.2,26.6,7,M30,14.67,0.74,Medium,1,2,2.0467,308.65,4.07,10.856,15.75,1
1.01,52.16,76.08,813.64,67.3,1.0,21.5,3,M40,16.56,1.25,Medium,2,2,1.902,52.68,21.71,20.7,4.51,2
8.75,99.88,23.31,1772.38,21.3,17.9,73.9,4,M20,18.54,0.28,Low,0,1,1.1655,873.95,5.195,5.191,28.01,1
4.07,15.27,15.24,166.68,21.2,-9.2,52.9,7,M50,15.02,0.57,Low,3,1,0.3048,62.15,2.986,8.561,5.71,1
11.97,88.46,77.38,2382.65,23.4,18.9,79.0,4,M20,2.79,1.22,High,0,0,3.869,1058.87,5.707,3.404,30.73,1
4.69,64.24,18.31,1878.74,46.3,-6.6,89.3,9,M20,19.75,1.19,Low,0,1,0.9155,301.29,5.088,23.502,11.97,2
6.86,35.27,87.85,3155.37,33.4,48.7,64.9,7,M30,1.99,1.15,High,1,0,2.9283,241.95,4.704,2.288,44.59,1
0.22,59.65,76.62,658.94,54.8,37.4,34.0,1,M20,0.5,0.54,High,0,0,3.831,13.12,49.818,0.27,19.52,2
1.13,36.69,47.57,2833.97,67.2,19.4,78.7,1,M40,19.24,1.13,Medium,2,2,1.1892,41.46,61.091,21.741,31.01,2
5.92,71.93,88.42,2792.67,50.9,-4.8,91.7,4,M30,13.71,0.76,High,1,0,2.9473,425.83,12.415,10.42,13.94,2
7.23,52.63,13.28,532.42,16.1,25.5,63.5,9,M20,17.46,0.88,Low,0,1,0.664,380.51,1.769,15.365,28.89,1
9.02,20.56,30.76,1455.1,70.0,35.5,71.1,4,M50,9.57,0.46,Low,3,1,0.6152,185.45,17.073,4.402,39.46,2
4.41,14.87,59.25,678.52,20.6,1.4,45.3,5,M40,0.28,0.98,Low,2,1,1.4812,65.58,4.039,0.274,9.69,1
10.44,66.06,34.75,966.05,12.1,24.1,48.6,1,M30,8.28,0.56,Low,1,1,1.1583,689.67,11.0,4.637,21.43,0
12.91,108.39,83.91,995.04,7.7,38.9,75.1,2,M30,15.2,0.58,High,1,0,2.797,1399.31,3.667,8.816,44.23,0
11.71,41.93,10.58,1991.2,42.7,36.1,89.6,4,M20,5.64,0.9,Low,0,1,0.529,491.0,10.415,5.076,50.27,2
0.64,88.23,51.7,1498.8,9.4,38.2,67.2,4,M40,17.2,0.46,Low,2,1,1.2925,56.47,2.293,7.912,39.11,0
7.23,79.38,55.22,3322.29,11.3,42.8,79.2,10,M40,19.86,0.45,Medium,2,2,1.3805,573.92,1.119,8.937,49.74,0
1.62,111.86,60.48,529.66,23.2,46.3,32.9,6,M20,11.36,0.61,High,0,0,3.024,181.21,3.803,6.93,21.81,1
3.67,98.7,26.73,3410.55,21.8,14.3,35.9,6,M30,21.89,1.06,Low,1,1,0.891,362.23,3.574,23.203,12.31,1
14.8,68.43,35.99,884.17,45.7,24.1,59.9,8,M30,21.37,0.45,Medium,1,2,1.1997,1012.76,5.642,9.616,26.42,2
2.18,79.19,76.71,2727.77,61.4,37.4,33.2,9,M30,21.95,1.07,High,1,0,2.557,172.63,6.747,23.486,19.06,2
7.51,107.91,21.57,1252.5,57.3,31.8,67.6,1,M40,16.53,0.97,Low,2,1,0.5392,810.4,52.091,16.034,35.02,2
9.29,48.54,75.28,586.48,20.4,49.7,41.9,1,M20,7.62,0.95,High,0,0,3.764,450.94,18.545,7.239,29.2,1
10.55,39.89,52.83,3016.82,19.2,-9.2,79.4,6,M20,12.03,0.72,High,0,0,2.6415,420.84,3.148,8.662,8.58,1
8.42,2.29,69.79,1150.13,72.5,11.3,80.6,4,M20,17.76,1.02,High,0,0,3.4895,19.28,17.683,18.115,25.23,2
0.2,99.36,65.66,2340.11,1.6,6.9,54.8,4,M30,5.26,0.21,Medium,1,2,2.1887,19.87,0.39,1.105,14.74,0
4.93,96.32,22.64,2025.91,66.1,5.7,33.6,1,M20,18.47,0.54,Medium,0,2,1.132,474.86,60.091,9.974,8.64,2
7.79,13.43,53.35,1703.97,15.8,3.4,68.5,9,M40,13.7,0.95,Medium,2,2,1.3338,104.62,1.736,13.015,16.03,1
1.36,69.65,78.76,1785.79,71.1,32.5,94.5,3,M40,2.4,1.29,Medium,2,2,1.969,94.72,22.935,3.096,49.61,2
5.29,56.21,41.73,2589.61,26.3,-4.9,66.7,5,M20,13.93,0.21,Medium,0,2,2.0865,297.35,5.157,2.925,10.07,1
0.55,15.13,87.16,398.43,33.6,34.5,22.7,10,M40,1.67,0.76,Low,2,1,2.179,8.32,3.327,1.269,12.37,1
1.22,117.69,43.44,2371.81,53.3,31.6,21.3,1,M40,0.36,1.22,Low,2,1,1.086,143.58,48.455,0.439,10.99,2
5.98,26.55,17.14,3145.76,44.5,5.0,44.0,8,M20,22.24,1.15,Medium,0,2,0.857,158.77,5.494,25.576,11.0,2
2.03,9.0,38.1,296.48,24.5,5.2,34.7,3,M20,12.25,0.23,Medium,0,2,1.905,18.27,7.903,2.818,8.74,1
8.53,71.79,85.89,578.22,42.0,27.7,81.0,1,M20,13.58,0.78,High,0,0,4.2945,612.37,38.182,10.592,38.64,2
10.36,88.93,32.18,2536.55,55.1,35.7,83.4,10,M20,7.0,0.21,Medium,0,2,1.609,921.31,5.455,1.47,46.45,2
12.02,4.86,78.79,1586.76,4.1,42.6,39.4,6,M40,13.57,1.07,Medium,2,2,1.9698,58.42,0.672,14.52,24.66,0
3.04,79.39,79.91,1472.07,1.8,41.1,44.4,1,M30,4.22,0.54,Medium,1,2,2.6637,241.35,1.636,2.279,27.13,0
2.55,64.34,34.77,565.69,34.9,47.9,37.7,3,M50,18.64,1.04,Low,3,1,0.6954,164.07,11.258,19.386,25.6,1
1.61,13.29,12.08,1823.02,10.8,24.9,88.1,5,M40,20.58,1.24,Low,2,1,0.302,21.4,2.118,25.519,39.56,0
9.56,21.53,66.59,530.25,50.2,44.5,57.7,4,M20,21.4,1.27,High,0,0,3.3295,205.83,12.244,27.178,37.22,2
10.61,68.59,31.48,1720.51,16.8,38.5,69.2,7,M40,2.67,1.18,Low,2,1,0.787,727.74,2.366,3.151,40.48,1
0.52,36.27,71.55,2696.29,33.0,43.7,51.2,6,M20,13.94,0.42,High,0,0,3.5775,18.86,5.41,5.855,32.61,1
14.05,112.66,42.63,978.1,15.6,-9.3,67.3,3,M20,20.22,0.41,High,0,0,2.1315,1582.87,5.032,8.29,7.2,1
0.83,98.43,46.25,1734.67,41.6,48.0,48.9,8,M30,3.21,0.89,Low,1,1,1.5417,81.7,5.136,2.857,33.25,2
8.14,118.04,71.12,3472.85,9.6,18.4,45.5,8,M30,2.49,0.8,Medium,1,2,2.3707,960.85,1.185,1.992,17.47,0
10.65,31.9,37.5,2434.61,2.7,37.9,67.6,2,M30,20.42,0.21,Medium,1,2,1.25,339.74,1.286,4.288,39.14,0
13.07,116.4,42.67,2960.61,4.8,-2.4,64.3,7,M40,19.92,0.63,Medium,2,2,1.0668,1521.35,0.676,12.55,11.32,0
10.73,52.32,36.98,1510.48,71.6,13.8,42.0,1,M40,11.22,1.2,Medium,2,2,0.9245,561.39,65.091,13.464,14.2,2
12.04,42.35,36.22,2710.73,11.5,6.3,31.2,2,M30,2.74,1.19,Medium,1,2,1.2073,509.89,5.476,3.261,8.21,0
5.12,6.99,49.71,237.73,53.4,7.5,47.6,8,M30,12.9,0.42,Medium,1,2,1.657,35.79,6.593,5.418,13.09,2
12.23,7.28,73.75,517.9,6.0,-2.6,51.1,1,M30,9.87,0.62,High,1,0,2.4583,89.03,5.455,6.119,8.89,0
1.25,83.35,35.75,790.44,9.0,38.3,67.2,2,M40,12.96,0.82,Low,2,1,0.8938,104.19,4.286,10.627,39.18,0
13.43,55.49,49.56,1466.64,38.7,-9.4,88.6,1,M20,11.0,1.14,High,0,0,2.478,745.23,35.182,12.54,9.39,1
8.24,27.96,62.01,2975.53,35.4,8.8,22.7,5,M50,14.21,0.79,Medium,3,2,1.2402,230.39,6.941,11.226,6.54,1
12.27,74.06,27.9,1277.3,71.4,0.5,38.3,7,M40,18.18,1.27,Low,2,1,0.6975,908.72,10.056,23.089,7.85,2
6.81,31.09,28.59,2325.71,70.9,25.3,34.5,6,M30,19.37,1.08,Low,1,1,0.953,211.72,11.623,20.92,15.63,2
9.67,69.74,84.34,2511.67,58.7,5.3,57.7,6,M50,16.22,1.25,Medium,3,2,1.6868,674.39,9.623,20.275,14.6,2
7.92,43.75,66.5,2093.02,45.6,5.5,52.2,6,M50,4.97,1.0,Medium,3,2,1.33,346.5,7.475,4.97,13.31,2
10.99,99.0,54.06,1314.62,34.7,19.3,74.7,8,M20,9.93,1.17,High,0,0,2.703,1088.01,4.284,11.618,29.36,1
1.27,98.66,60.06,2061.98,27.4,29.2,38.2,5,M20,1.78,1.11,High,0,0,3.003,125.3,5.373,1.976,18.79,1
0.95,57.8,7.49,1263.7,71.1,-2.7,64.6,10,M40,11.29,0.48,Low,2,1,0.1872,54.91,7.04,5.419,11.18,2
3.74,42.75,57.54,385.17,45.6,0.5,86.3,7,M50,24.26,0.45,Low,3,1,1.1508,159.89,6.423,10.917,17.69,2
2.44,44.14,48.31,3475.53,43.9,4.8,88.3,3,M40,16.04,1.15,Medium,2,2,1.2078,107.7,14.161,18.446,21.9,2
13.08,96.88,51.39,532.42,18.2,48.4,91.9,9,M30,3.87,0.29,Low,1,1,1.713,1267.19,2.0,1.122,62.86,1
3.33,40.05,35.55,345.98,4.5,13.8,78.0,10,M40,6.71,0.65,Low,2,1,0.8888,133.37,0.446,4.362,26.36,0
14.64,25.88,11.93,3087.0,70.9,25.9,87.9,3,M20,1.61,1.1,Low,0,1,0.5965,378.88,22.871,1.771,40.35,2
5.09,11.08,21.43,1126.24,24.2,4.5,37.6,6,M50,4.56,1.09,Low,3,1,0.4286,56.4,3.967,4.97,9.21,1
2.77,56.54,85.81,2311.01,33.8,19.4,34.8,3,M30,12.2,0.35,High,1,0,2.8603,156.62,10.903,4.27,13.71,1
11.86,58.37,39.74,1218.62,9.5,-5.6,20.5,1,M50,8.62,0.74,Low,3,1,0.7948,692.27,8.636,6.379,2.95,0
9.9,101.07,44.67,1430.94,62.9,-7.9,73.0,1,M30,5.1,0.73,Medium,1,2,1.489,1000.59,57.182,3.723,8.83,2
7.5,27.33,9.48,991.18,3.0,18.1,90.3,3,M50,3.66,0.56,Low,3,1,0.1896,204.98,0.968,2.05,34.4,0
8.35,46.34,8.19,1266.35,62.7,13.9,34.0,4,M30,16.4,1.21,Low,1,1,0.273,386.94,15.293,19.844,11.53,2
10.8,97.2,65.96,1496.38,11.4,-1.8,67.8,2,M40,13.95,0.92,Medium,2,2,1.649,1049.76,5.429,12.834,12.34,0
3.47,99.01,50.74,2549.41,66.6,31.3,76.0,9,M50,21.07,1.28,Medium,3,2,1.0148,343.56,7.319,26.97,38.99,2
14.91505,46.77,48.24,1839.22,55.0,49.6,89.6,8,M30,4.58,0.27,Medium,1,2,1.608,697.58,6.79,1.237,62.36,2
14.62,55.64,25.67,3308.12,13.2,13.7,68.5,3,M40,21.2,0.63,Medium,2,2,0.6418,813.46,4.258,13.356,23.08,0
9.77,37.09,68.3,242.39,42.9,27.5,92.8,7,M20,14.45,1.12,High,0,0,3.415,362.37,6.042,16.184,44.08,2
3.03,111.97,19.3,1810.43,24.1,47.8,45.9,4,M30,6.66,0.66,Low,1,1,0.6433,339.27,5.878,4.396,31.12,1
10.22,15.12,21.14,2086.36,14.2,39.9,46.2,5,M40,6.84,0.49,Low,2,1,0.5285,154.53,2.784,3.352,27.67,0
1.13,112.12,44.16,3228.67,64.6,17.8,60.7,4,M20,9.76,1.29,High,0,0,2.208,126.7,15.756,12.59,22.94,2
0.51,82.38,29.33,267.14,30.9,34.2,48.8,9,M40,11.5,1.16,Low,2,1,0.7332,42.01,3.396,13.34,26.45,1
3.9,64.26,26.03,2049.9,30.5,-2.3,20.3,7,M40,2.06,0.8,Low,2,1,0.6508,250.61,4.296,1.648,3.59,1
6.97,4.89,59.85,3002.34,13.6,20.7,74.9,4,M20,21.05,0.82,High,0,0,2.9925,34.08,3.317,17.261,30.48,0
13.03,57.6,60.33,922.55,29.3,6.7,76.4,8,M20,3.04,0.21,High,0,0,3.0165,750.53,3.617,0.638,20.4,1
10.92,49.52,75.08,3079.39,65.5,-0.3,76.0,2,M30,12.09,1.28,High,1,0,2.5027,540.76,31.19,15.475,14.97,2
11.15,20.19,40.51,164.75,27.9,15.6,45.9,7,M20,9.57,1.09,Medium,0,2,2.0255,225.12,3.93,10.431,16.34,1
6.41,79.11,11.21,2590.35,71.4,-2.1,59.2,1,M50,12.81,0.24,Low,3,1,0.2242,507.1,64.909,3.074,10.6,2
5.22,116.57,28.26,3272.58,71.0,31.9,47.0,8,M40,22.19,0.39,Low,2,1,0.7065,608.5,8.765,8.654,24.39,2
5.6,67.9,88.3,2334.47,11.7,17.4,21.2,6,M30,24.73,1.1,High,1,0,2.9433,380.24,1.918,27.203,7.93,0
14.82,86.06,55.68,1592.7,14.1,21.9,62.2,5,M20,0.51,0.3,High,0,0,2.784,1275.41,2.765,0.153,26.06,0
0.65,9.15,65.33,252.6,64.8,-1.2,29.3,9,M40,9.83,1.24,Low,2,1,1.6332,5.95,7.121,12.189,5.51,2
13.01,50.7,5.67455,3228.39,30.1,-1.6,26.0,9,M30,20.44,1.29,Low,1,1,0.1892,659.61,3.308,26.368,4.78,1
8.7,14.85,49.05,1699.01,1.4,25.0,76.7,3,M20,8.17,1.18,High,0,0,2.4525,129.2,0.452,9.641,34.52,0
6.61,73.92,8.19,198.59,21.3,49.1,20.7,9,M30,16.23,1.01,Low,1,1,0.273,488.61,2.341,16.392,14.3,1
10.89,112.68,53.38,2445.39,45.2,-4.2,91.9,9,M40,24.81,0.74,Medium,2,2,1.3345,1227.09,4.967,18.359,14.52,2
7.33,79.75,83.27,1738.25,60.1,7.1,58.6,2,M20,16.17,0.29,High,0,0,4.1635,584.57,28.619,4.689,15.88,2
13.11,10.14,87.32,522.77,10.9,42.2,93.7,5,M30,2.78,1.0,High,1,0,2.9107,132.94,2.137,2.78,58.28,0
13.52,43.21,50.95,828.52,9.2,-5.7,24.3,2,M50,21.07,0.64,Low,3,1,1.019,584.2,4.381,13.485,3.47,0
6.35,66.53,43.95,319.27,69.2,42.6,63.8,1,M20,24.17,0.83,High,0,0,2.1975,422.47,62.909,20.061,39.94,2
4.19,48.98,85.33,2052.6,56.6,21.5,46.2,7,M40,17.81,0.52,Medium,2,2,2.1332,205.23,7.972,9.261,19.17,2
8.91,100.2,62.26,2214.9,44.6,14.5,83.3,4,M30,10.48,0.47,Medium,1,2,2.0753,892.78,10.878,4.926,28.74,2
13.69,97.95,10.52,1819.52,57.9,8.6,47.1,5,M20,23.71,0.56,Low,0,1,0.526,1340.94,11.353,13.278,13.47,2
3.2,73.81,44.59,2878.15,32.7,7.8,39.5,4,M20,24.21,1.1,High,0,0,2.2295,236.19,7.976,26.631,10.98,1
9.36,45.44,25.42,3027.43,57.1,8.3,84.3,6,M20,23.38,0.67,Medium,0,2,1.271,425.32,9.361,15.665,23.86,2
9.49,31.39,44.93,2193.12,28.5,43.1,48.1,2,M20,10.3,0.54,High,0,0,2.2465,297.89,13.571,5.562,30.35,1
11.01,13.6,43.71,143.37,19.1,33.4,21.3,8,M20,19.74,0.68,Medium,0,2,2.1855,149.74,2.358,13.423,11.37,1
2.02,43.23,54.48,2463.78,54.9,30.2,49.3,4,M30,16.35,0.24,Medium,1,2,1.816,87.32,13.39,3.924,24.75,2
10.75,50.17,35.33,1521.2,32.1,37.9,69.1,8,M20,4.49,1.18,Medium,0,2,1.7665,539.33,3.963,5.298,40.01,1
13.64,81.42,18.96,2022.9,73.6,5.4,39.1,3,M40,13.39,0.81,Low,2,1,0.474,1110.57,23.742,10.846,9.93,2
2.74,79.32,47.82,2306.87,26.9,27.1,52.4,5,M40,18.69,0.32,Low,2,1,1.1955,217.34,5.275,5.981,24.68,1
3.6,9.34,75.57,1290.8,69.2,17.6,24.3,3,M40,22.4,0.52,Medium,2,2,1.8892,33.62,22.323,11.648,9.14,2
14.57,48.04,61.44,3218.13,70.0,36.9,64.1,7,M30,21.56,1.28,High,1,0,2.048,699.94,9.859,27.597,36.47,2
2.76,22.63,33.76,555.51,18.9,8.6,76.7,3,M50,3.87,0.85,Low,3,1,0.6752,62.46,6.097,3.29,21.94,1
12.82,19.66,84.52,2383.14,60.1,28.6,51.0,8,M20,12.2,0.52,High,0,0,4.226,252.04,7.42,6.344,24.79,2
7.41,99.45,82.54,114.82,33.0,42.9,51.5,9,M20,11.96,0.67,High,0,0,4.127,736.92,3.626,8.013,32.39,1
